,station,annee,mois_max_temperature,max_temperature,mois_max_temperature.1,min_temperature,mois_max_precipitations,max_precipitations,mois_max_precipitations.1,min_precipitations,jours_haute_chaleur,Unnamed: 0,Nom,Latitude,Longitude,Altitude,metropole
80,7027,2004,8,21.900000000000034,12,6.900000000000035,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
81,7027,2005,7,20.80000000000001,2,5.700000000000019,,,,,1.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
82,7027,2006,7,24.200000000000053,1,5.5,,,,,2.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
83,7027,2007,8,19.400000000000034,12,7.2000000000000455,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
84,7027,2008,7,20.600000000000023,12,6.5,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
85,7027,2009,8,20.900000000000034,1,4.600000000000024,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
86,7027,2010,7,22.700000000000053,12,2.7000000000000446,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
87,7027,2011,9,19.700000000000017,1,6.7000000000000455,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
88,7027,2012,8,21.800000000000008,2,6.800000000000013,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
89,7027,2013,7,22.800000000000008,2,5.05000000000004,,,,,2.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
90,7027,2014,7,21.400000000000034,1,8.5,12.0,0.7,12.0,0.7,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
91,7027,2015,7,21.20000000000005,2,7.200000000000018,2.0,1.6,4.0,0.0,1.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
92,7027,2016,8,22.400000000000034,2,7.650000000000035,1.0,0.8,3.0,0.0,1.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
93,7027,2017,7,21.20000000000005,1,5.7000000000000455,12.0,0.8,1.0,0.0,2.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
94,7027,2018,7,24.800000000000008,2,4.800000000000012,12.0,2.2,7.0,0.0,1.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
95,7027,2019,7,22.800000000000008,1,6.800000000000013,10.0,0.6,1.0,0.0,3.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
96,7037,1996,7,20.0,12,2.6400000000000428,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
97,7037,1997,8,25.600000000000023,1,0.8000000000000114,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
98,7037,1998,8,21.5,12,5.745000000000032,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
99,7037,1999,7,23.600000000000023,12,5.7000000000000455,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
100,7037,2000,8,21.0,1,5.2000000000000455,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
101,7037,2001,8,20.70000000000005,12,3.5,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
102,7037,2002,8,19.80000000000001,1,6.7000000000000455,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
103,7037,2003,8,23.800000000000008,2,4.600000000000024,,,,,6.0,4,ROUEN-BOOS,49.383,1.181667,151,1
104,7037,2004,8,20.70000000000005,12,4.0,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
105,7037,2005,7,20.100000000000023,2,3.550000000000012,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
106,7037,2006,7,25.0,1,4.0,,,,,2.0,4,ROUEN-BOOS,49.383,1.181667,151,1
107,7037,2007,6,19.350000000000023,12,5.300000000000012,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
108,7037,2008,7,19.70000000000005,12,5.100000000000024,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
109,7037,2009,8,22.5,1,2.7000000000000446,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
110,7037,2010,7,22.600000000000023,12,0.7000000000000455,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
111,7037,2011,8,19.400000000000034,1,4.7000000000000455,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
112,7037,2012,8,21.900000000000034,2,5.800000000000013,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
113,7037,2013,7,24.800000000000008,2,4.050000000000011,,,,,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
114,7037,2014,7,21.400000000000034,12,6.400000000000035,12.0,1.1,12.0,1.1,0.0,4,ROUEN-BOOS,49.383,1.181667,151,1
115,7037,2015,8,22.700000000000053,1,5.2000000000000455,1.0,0.6,4.0,0.0,1.0,4,ROUEN-BOOS,49.383,1.181667,151,1
116,7037,2016,8,22.200000000000053,12,6.400000000000035,1.0,2.2,7.0,0.0,3.0,4,ROUEN-BOOS,49.383,1.181667,151,1
117,7037,2017,6,23.050000000000008,1,3.900000000000034,12.0,2.2,4.0,0.0,2.0,4,ROUEN-BOOS,49.383,1.181667,151,1
118,7037,2018,7,25.600000000000023,2,3.050000000000012,12.0,2.2,4.0,0.0,1.0,4,ROUEN-BOOS,49.383,1.181667,151,1
119,7037,2019,7,22.700000000000053,1,4.600000000000024,10.0,1.4,4.0,0.0,3.0,4,ROUEN-BOOS,49.383,1.181667,151,1
120,7072,2012,5,24.400000000000034,12,6.5000000000000275,,,,,2.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
121,7072,2013,7,26.100000000000023,2,2.6000000000000223,,,,,2.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
122,7072,2014,7,22.600000000000023,12,5.2000000000000455,12.0,0.4,12.0,0.4,1.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
123,7072,2015,8,25.700000000000053,1,4.800000000000012,1.0,0.2,2.0,0.0,6.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
124,7072,2016,8,23.100000000000023,12,5.400000000000035,4.0,0.8,3.0,0.0,3.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
125,7072,2017,6,23.600000000000023,1,1.1000000000000227,11.0,0.30000000000000004,1.0,0.0,1.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
126,7072,2018,7,27.700000000000053,2,3.9500000000000175,1.0,0.6,2.0,0.0,7.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
127,7072,2019,7,24.300000000000008,1,5.0,10.0,0.6,2.0,0.0,5.0,5,REIMS-PRUNAY,49.209667,4.1553330000000015,95,1
128,7110,1996,7,19.100000000000023,12,6.600000000000023,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
129,7110,1997,8,21.345000000000027,1,7.2000000000000455,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
130,7110,1998,8,19.390000000000047,1,9.200000000000044,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
131,7110,1999,7,20.390000000000047,2,9.245000000000033,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
132,7110,2000,8,19.30000000000004,1,7.890000000000043,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
133,7110,2001,8,19.600000000000023,12,7.100000000000023,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
134,7110,2002,9,19.100000000000023,1,10.100000000000025,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
135,7110,2003,8,21.900000000000034,1,8.700000000000045,,,,,1.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
136,7110,2004,8,19.30000000000001,2,8.400000000000034,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
137,7110,2005,8,19.600000000000023,2,7.150000000000008,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
138,7110,2006,7,21.900000000000034,2,6.100000000000023,,,,,1.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
139,7110,2007,8,18.70000000000005,12,9.800000000000011,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
140,7110,2008,7,17.900000000000034,12,7.700000000000045,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
141,7110,2009,7,19.100000000000023,1,8.200000000000045,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
142,7110,2010,7,19.0,12,5.7000000000000455,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
143,7110,2011,8,18.600000000000023,1,8.0,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
144,7110,2012,8,19.30000000000001,2,8.800000000000011,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
145,7110,2013,7,21.900000000000034,2,7.600000000000023,,,,,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
146,7110,2014,9,21.550000000000008,2,9.000000000000027,12.0,2.1,12.0,2.1,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
147,7110,2015,7,19.30000000000001,2,8.100000000000023,1.0,2.8,4.0,0.2,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
148,7110,2016,8,20.5,1,8.800000000000011,1.0,6.6,12.0,0.0,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
149,7110,2017,8,18.900000000000034,1,8.600000000000023,9.0,1.8,1.0,0.0,1.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
150,7110,2018,7,22.100000000000023,2,7.000000000000028,3.0,3.7,5.0,0.0,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
151,7110,2019,7,21.600000000000023,1,8.300000000000011,10.0,12.3,5.0,0.0,0.0,6,BREST-GUIPAVAS,48.444167,-4.412,94,1
152,7117,1996,8,18.20000000000005,2,6.800000000000013,12.0,0.0,12.0,0.0,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
153,7117,1997,8,20.845000000000027,1,5.595000000000028,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
154,7117,1998,8,19.0,1,9.200000000000015,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
155,7117,1999,8,19.30000000000001,12,9.400000000000006,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
156,7117,2000,8,19.400000000000034,1,8.795000000000044,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
157,7117,2001,8,19.600000000000023,12,7.800000000000013,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
158,7117,2002,8,19.400000000000034,2,10.150000000000034,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
159,7117,2003,8,20.600000000000023,2,8.650000000000034,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
160,7117,2004,8,19.20000000000005,2,8.800000000000011,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
161,7117,2005,7,19.100000000000023,2,7.250000000000028,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
162,7117,2006,7,20.000000000000032,2,6.800000000000013,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
163,7117,2007,8,18.30000000000001,12,10.0,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
164,7117,2008,7,18.650000000000034,12,7.850000000000024,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
165,7117,2009,7,19.0,1,7.400000000000035,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
166,7117,2010,7,18.900000000000034,1,6.2000000000000455,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
167,7117,2011,9,18.400000000000034,1,8.100000000000023,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
168,7117,2012,8,19.900000000000034,2,9.050000000000011,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
169,7117,2013,8,19.600000000000023,3,7.300000000000013,,,,,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
170,7117,2014,7,20.20000000000005,2,9.0,12.0,1.8,12.0,1.8,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
171,7117,2015,7,18.80000000000001,2,8.25,2.0,1.8,6.0,0.0,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
172,7117,2016,8,19.70000000000005,2,8.800000000000011,1.0,4.8,5.0,0.0,1.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
173,7117,2017,7,19.20000000000005,1,8.5,2.0,1.0,8.0,0.0,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
174,7117,2018,7,20.20000000000005,2,7.500000000000028,3.0,3.0,6.0,0.0,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
175,7117,2019,8,20.20000000000005,1,8.200000000000045,3.0,0.4,2.0,0.2,0.0,7,PLOUMANAC'H,48.825833,-3.473167,55,1
176,7130,1996,7,22.100000000000023,12,5.390000000000043,,,,,1.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
177,7130,1997,8,24.600000000000023,1,4.390000000000043,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
178,7130,1998,8,22.04500000000005,12,8.600000000000023,,,,,2.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
179,7130,1999,7,25.600000000000023,2,8.350000000000023,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
180,7130,2000,8,22.5,1,6.2000000000000455,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
181,7130,2001,8,22.700000000000053,12,5.800000000000013,,,,,2.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
182,7130,2002,8,22.300000000000008,1,10.0,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
183,7130,2003,8,26.0,1,6.400000000000035,,,,,8.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
184,7130,2004,8,21.900000000000034,12,6.5,,,,,1.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
185,7130,2005,8,22.600000000000023,2,6.950000000000018,,,,,1.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
186,7130,2006,7,25.300000000000008,2,6.2000000000000455,,,,,4.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
187,7130,2007,7,20.20000000000005,12,7.5,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
188,7130,2008,7,21.400000000000034,12,7.350000000000024,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
189,7130,2009,8,21.600000000000023,1,5.100000000000024,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
190,7130,2010,7,22.900000000000034,12,4.0,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
191,7130,2011,7,20.70000000000005,1,7.2000000000000455,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
192,7130,2012,8,22.400000000000034,2,8.200000000000045,,,,,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
193,7130,2013,7,25.600000000000023,2,6.000000000000028,,,,,2.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
194,7130,2014,7,23.200000000000053,12,9.400000000000034,12.0,0.30000000000000004,12.0,0.30000000000000004,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
195,7130,2015,8,22.800000000000008,2,7.2000000000000455,2.0,0.9,3.0,0.0,0.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
196,7130,2016,8,23.600000000000023,12,7.900000000000035,1.0,1.1,3.0,0.0,2.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
197,7130,2017,6,22.100000000000023,1,5.900000000000035,12.0,1.1,1.0,0.0,1.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
198,7130,2018,7,25.5,2,5.900000000000035,3.0,1.6,5.0,0.0,2.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
199,7130,2019,7,25.5,1,7.300000000000013,10.0,4.4,2.0,0.0,4.0,8,RENNES-ST JACQUES,48.06883300000001,-1.734,36,1
200,7139,1996,7,22.5,12,4.0,,,,,0.0,9,ALENCON,48.4455,0.110167,143,1
201,7139,1997,8,26.0,1,3.1000000000000227,,,,,0.0,9,ALENCON,48.4455,0.110167,143,1
202,7139,1998,8,22.29500000000005,12,6.2000000000000455,,,,,3.0,9,ALENCON,48.4455,0.110167,143,1
